id,fork,door,door_dir,door_dis,door_open,robot,robot_dir,robot_dis,AR_single,AR_multi,AR_dir,obs,obs_name,obs_dir,obs_dis,can_pass
image_1.jpg,No , Yes , Center , 300 , No , No , No , No , No , No , No , Yes , Bag , Center , 150 , Yes
image_2.jpg,No , Yes , Center , 400 , No , No , No , No , No , No , No , Yes , Bag , Center , 150 , Yes
image_3.jpg,No , Yes , Center , 400 , No , No , No , No , No , No , No , Yes , Bag , Center , 150 , No
image_4.jpg,No , Yes , Center , 400 , No , No , No , No , No , No , No , Yes , Bag , Center , 150 , No
image_5.jpg,No , Yes , Center , 400 , No , No , No , No , No , No , No , Yes , Bag , Center , 150 , No
image_6.jpg,No , Yes , Center , 400 , No , No , No , No , No , No , No , Yes , Bag , Center , 150 , Yes
image_7.jpg,No , Yes , Center , 400 , No , No , No , No , No , No , No , Yes , Bag , Center , 150 , No
image_8.jpg,No , Yes , Center , 400 , No , No , No , No , No , No , No , Yes , Backpack , Center , 150 , No
image_9.jpg,No , Yes , Center , 500 , No , No , No , No , No , No , No , Yes , Bag , Center , 150 , Yes
image_10.jpg,No , Yes , Center , 400 , No , No , No , No , No , No , No , Yes , Bag , Center , 150 , No
image_11.jpg,No , Yes , Center , 500 , No , No , No , No , Yes , No , Left , Yes , Bag , Center , 150 , No
image_12.jpg,No , Yes , Center , 300 , No , No , No , No , No , No , No , Yes , Backpack , Center , 100 , No
image_13.jpg,No , Yes , Center , 400 , No , No , No , No , No , No , No , Yes , Backpack , Center , 100 , No
image_14.jpg,No , Yes , Center , 300 , No , No , No , No , No , No , No , Yes , Bag , Center , 100 , No
image_15.jpg,No , Yes , Center , 400 , No , No , No , No , No , No , No , Yes , Bag , Center , 100 , No
image_16.jpg,No , Yes , Center , 400 , No , No , No , No , No , No , No , Yes , Bag , Center , 100 , No
image_17.jpg,No , Yes , Center , 300 , No , No , No , No , No , No , No , Yes , Backpack , Center , 150 , No
image_18.jpg,No , Yes , Center , 300 , No , No , No , No , No , No , No , Yes , Backpack , Center , 100 , No
image_19.jpg,No , Yes , Center , 400 , No , No , No , No , No , No , No , Yes , Backpack , Center , 50 , No
image_20.jpg,No , Yes , Center , 400 , No , No , No , No , No , No , No , Yes , Bag , Center , 100 , No
image_21.jpg,No , Yes , Center , 400 , No , No , No , No , No , No , No , Yes , Bag , Center , 50 , No
image_22.jpg,No , Yes , Center , 400 , No , No , No , No , No , No , No , Yes , Backpack , Center , 100 , No
image_23.jpg,No , Yes , Center , 300 , No , No , No , No , No , No , No , Yes , Backpack , Center , 50 , No
image_24.jpg,No , Yes , Center , 300 , No , No , No , No , No , No , No , Yes , Backpack , Center , 50 , No
image_25.jpg,No , Yes , Center , 400 , No , No , No , No , No , No , No , Yes , Backpack , Center , 50 , No
image_26.jpg,No , Yes , Center , 300 , No , No , No , No , No , No , No , Yes , Bag , Center , 50 , No
image_27.jpg,No , Yes , Center , 300 , No , No , No , No , No , No , No , Yes , Backpack , Center , 50 , No
image_28.jpg,No , Yes , Center , 300 , No , No , No , No , No , No , No , Yes , Fire extinguisher , Right , 100 , Yes
image_29.jpg,No , Yes , Center , 200 , No , No , No , No , No , No , No , Yes , Fire extinguisher , Right , 50 , Yes
image_30.jpg,No , Yes , Center , 200 , No , No , No , No , No , No , No , Yes , Fire extinguisher , Right , 50 , Yes
image_31.jpg,No , Yes , Center , 200 , No , No , No , No , Yes , No , Left , Yes , Fire extinguisher , Right , 50 , Yes
image_32.jpg,No , Yes , Center , 200 , No , No , No , No , Yes , No , Left , Yes , Fire extinguisher , Right , 50 , Yes
image_33.jpg,No , Yes , Center , 200 , No , No , No , No , Yes , No , Left , Yes , Fire extinguisher , Right , 50 , No
image_34.jpg,No , Yes , Center , 200 , No , No , No , No , Yes , No , Left , Yes , Door , Center , 200 , Yes
image_35.jpg,No , Yes , Center , 150 , No , No , No , No , Yes , No , Left , Yes , Door , Center , 150 , Yes
image_36.jpg,No , Yes , Center , 150 , No , No , No , No , Yes , No , Left , Yes , Door , Center , 150 , Yes
image_37.jpg,No , Yes , Center , 200 , No , No , No , No , Yes , No , Left , Yes , Door , Center , 200 , No
